mcq_label,question_text,ques_type,ques_for_assessment_type,choiceA,choiceB,choiceC,choiceD,choiceE,correctChoice,puzzle_answer,difficultyLevel
October Entrance Section A - Slot 2,"Fact 1: Rahul has 8 siblings.
Fact 2: Rahul has 3 elder brothers.
Fact 3: Rahul has 3 younger sisters.

If the first three statements are facts, which of the following statements must also be a fact?

I:  Rahul has four brothers.
II: Five of the siblings are younger than Rahul.
III: Rahul has four brothers and four sisters.",Multiple Choice Question,"1, 2, 3, 4",I only,II only,II and III only,None of the statements is a known fact,,D,-,LEVEL 1
HTML Tables,When is the content of a table shown ?,Multiple Choice Question,"1, 2, 3, 4",Before the border loads,After the table is loaded,In pieces as it loads,None of the above,-,B,-,LEVEL 2
17jul-march-htmlcss,How to create a checkbox in html?,Multiple Choice Question,"1, 2, 3, 4",&amp;lt;checkbox&amp;gt;,"&amp;lt;input type = ""check""&amp;gt;","&amp;lt;input type = ""button""&amp;gt;","&amp;lt;input type = ""checkbox""&amp;gt;",,D,-,LEVEL 2
Javascript,___ method removes focus from the current window.,Multiple Choice Question,"1, 2, 3, 4",close(),blur(),focus(),prompt(),,B,,LEVEL 2
Node,"What will be the output of the following code snippet in Node.js?<br><br>var inherits = require('util').inherits;<br><br>function Parent()){<br><br>this.message =""Example "";<br><br>}<br><br>Parent.Prototype.exP = function(){<br><br>return this.message + ""parent class "" }; function Child(){Parent.call(this);}<br><br>inherits(Child, Parent);<br><br>Child.prototype.exp = function () {<br><br>return Parent.prototype.exp.call(this) + ""child class"";<br><br>}<br><br>var chd = new Child(); console.log(chd.exp());",Multiple Choice Question,"1, 2, 3, 4",Example,parent class child class,parent class,Example parent class child class,,D,-,LEVEL 2
Total js,USERNAME and userName,Multiple Choice Question,"1, 2, 3, 4",Represent the name of the same variable,Represent the name of different variables,Represent the name of different constants,Represent the name of the same constant,,B,-,LEVEL 1
Aptitude - Permutation and Combination,"Find the total number of 3 digit numbers that can be formed using digits 1,2,3,4,5,6,7 such that repetition is allowed",Multiple Choice Question,"1, 2, 3, 4",120,343,200,250,,B,,LEVEL 2
Aptitude - Ratios,"If a : b is 1 :2, b : c is 3 : 5, c : d is 5 : 4 and e : d = 5 : 6. Find a : b : c : d : e.",Multiple Choice Question,"1, 2, 3, 4",1 : 2 : 3 : 4 : 5,9 : 18 : 30 : 24 : 20,1 : 6 : 4 : 5 : 6,3 : 6 : 10 : 8 : 7,,B,-,LEVEL 2
Sanskrit Lecture Quiz 18,संस्कृतभाषा अमृतम् _____ मधुरा भाषा ।,Multiple Choice Question,"1, 2, 3, 4",इव,एव,न,नैव,,A,-,LEVEL 1
CSS,The possible values of marquee-speed property in CSS3 are …<br>i) fast  ii) faster  iii) normal  iv) slow,Multiple Choice Question,"1, 2, 3, 4","i, ii and iii only","ii, iii and iv only","i, iii and iv only","All i, ii, iii and iv",-,C,-,LEVEL 2
CSS,Which property gets provide the increments or decrements the space between characters?,Multiple Choice Question,"1, 2, 3, 4",direction,.letter-spacing,white-space,None of the above,-,B,,LEVEL 2
HTML,"In HTML Audio/Video DOM, __________ sets or returns whether the audio/video should start over again when finished.",Multiple Choice Question,"1, 2, 3, 4",loop,autoplay,seeking,played,-,A,-,LEVEL 3
Javascript,Which of the following comes with compiled third-party packages?,Multiple Choice Question,"1, 2, 3, 4",Contrib,Base,Rtools,None of the mentioned,,A,,LEVEL 2
General CS,"If we want define style for an unique element, then which css selector will we use ?",Multiple Choice Question,"1, 2, 3, 4",Id,text,class,name,,A,-,LEVEL 3
Sanskrit-lecture-3-quiz-1,"Select proper verb of imperative mood    
    सः उपविशति | भवान्       ""उपविशतु ""     saḥ upaviśati | bhavān  ""upaviśatu ""
सा पठति | सः  --------  sā paṭhati | saḥ___

भक्तः नमति | बालकः  ------  bhaktaḥ namati | bālakaḥ___

सा गच्छति |  भवान् ----- sā gacchati |  bhavān ___",Multiple Choice Question,"1, 2, 3, 4","नमतु namatu, पठतु   paṭhatu , गच्छतु gachhatu","गच्छतु gachhatu , पठतु   paṭhatu ,नमतु namatu","पठतु   paṭhatu नमतु namatu , गच्छतु gacchatu",,,C,-,LEVEL 1
Aptitude - Number Series Pattern Recognition,"Find the sum of the first 19 terms of an arithmetic progression, if the sum of the first, the third, the eighth, the twelfth, the seventeenth and the nineteenth terms is 555.",Multiple Choice Question,"1, 2, 3, 4",1285.5,14555.75,1757.5,2358.25,,C,-,LEVEL 2
CSS,"Suppose we want to arragnge five nos. of DIVs so that DIV4 is placed above DIV1. Now, which css property will we use to control the order of stack?",Multiple Choice Question,"1, 2, 3, 4",d-index,s-index,x-index,z-index,-,D,,LEVEL 2
React,"At the highest level, React components have lifecycle events that fall into",Multiple Choice Question,"1, 2, 3, 4",Destruction,Initialization,State/Property Updates,All of these,,D,,LEVEL 1
CSS,What does the following mean to the computer? div p {color: #ff0000;},Multiple Choice Question,"1, 2, 3, 4",Make text in all divs and all paragraphs in this document be bright red,"Make the background in all divs that are of the class ""p"" be bright red",Make the text inside any divs inside of any paragraph be bright red,Make the text inside any paragraph that is inside any div be bright red,-,D,,LEVEL 3
LR - Number Series,"<p>5, 8, 3; 6, 15, 9; 7, 10, 3; 8, 9, 1; 4, ?, 3</p>",Multiple Choice Question,"1, 2, 3, 4",1,7,5,2,,B,,LEVEL 2
CSS,The CSS rule …………………. would make the first &lt;li&gt; tag found within an unordered list tag (&lt;ul&gt;) pink.,Multiple Choice Question,"1, 2, 3, 4",ul li {color:pink;},ul li:first {color:pink;},ul li:first-child {color:pink;},ul li:child(1) {color:pink;},-,C,,LEVEL 2
React,<br>What will happen if you render an input element with disabled = {false},Multiple Choice Question,"1, 2, 3, 4",It will be rendered as disabled,It will be rendered as enabled,It will not be rendered at all,None of the above,,B,,LEVEL 1
Aptitude - Number Series Pattern Recognition,What is the remainder when (17^23 + 23^23 + 29^23) is divided by 23?,Multiple Choice Question,"1, 2, 3, 4",0,1,2,3,,A,-,LEVEL 2
HTML,The tag used for creating hypertext and hypermedia links is,Multiple Choice Question,"1, 2, 3, 4",&lt;HR&gt;,&lt;BR&gt;,&lt;PRE&gt;,&lt;A&gt;,-,D,-,LEVEL 1
React,Props in React can ________,Multiple Choice Question,"1, 2, 3, 4",Be modified inside the component,Not be modified in the component,Be modified in another component,None of the above,-,D,,LEVEL 2
Node,Which of the following is true about __filename global object?,Multiple Choice Question,"1, 2, 3, 4",The __filename represents the filename of the code being executed.,The __filename represents the resolved absolute path of code file.,Both of the above.,None of the above,,C,-,LEVEL 1
Javascript,Which one of the following is more efficient in terms of the file size reduction ?,Multiple Choice Question,"1, 2, 3, 4",Closure Compiler (simple),Minify,Closure Compiler (advanced),YUI,,C,,LEVEL 2
JS Closure and Scope,What are the closures?,Multiple Choice Question,"1, 2, 3, 4",Both Function objects and Scope where function's variables are resolved,Scope where function's variables are resolved,Function objects,Function return value,,C,-,LEVEL 4
HTML,IDE stands for,Multiple Choice Question,"1, 2, 3, 4",Internet Development Environment,Integrated Development Environment,Intelligent Development Environment,None of the mentioned,-,B,-,LEVEL 2
LR - Letter and Symbol,"If RADIO is written as PYBGM, then how would school be written in that code?",Multiple Choice Question,"1, 2, 3, 4",USQOON,QAFMMJ,PTFNNO,QYFMMT,,B,-,LEVEL 2
Javascript,What will be the radix value of the parseInt() method when the string begins with any other value other than 0x and 0 ?,Multiple Choice Question,"1, 2, 3, 4",10,8,9,None of the Above,,A,,LEVEL 3
Aptitude - Height and Distance,The maximum value of cos^2(x) − sin^2(x) is,Multiple Choice Question,"1, 2, 3, 4",1,2,3,-2,,A,-,LEVEL 2
Redux,Middleware is _________.<br>Choose the correct option from below list :,Multiple Choice Question,"1, 2, 3, 4",Low ordered functions,High ordered functions,Single ordered functions,None of the above,,B,-,LEVEL 2
Javascript,Where is the external JavaScript placed in the case of lazy loading?,Multiple Choice Question,"1, 2, 3, 4",After window.onload event,Before window.onload event,In the header tag,In the HTML tag,,A,,LEVEL 2
JS Objects,"What will be the output of the following JavaScript code?<br>const obj = { 10: 'arry', 21: 'barry', 23: 'carry' };  <br>console.log(Object.entries(obj)[2]);",Multiple Choice Question,"1, 2, 3, 4","[“arry”, “10”]","[“10”,”arry”]","[“21”,barry”]","[“23”,”carry”]",,D,-,LEVEL 1
DOM Manipulation,What is the correct syntax for opening a new window called “f2”?,Multiple Choice Question,"1, 2, 3, 4","f2 = window.new(""https://stackhowto.com"");","f2 = window.open(""https://stackhowto.com"");","f2 = document.open(""https://stackhowto.com"");","f2 = document.new(""https://stackhowto.com"");",,B,-,LEVEL 2
Handling Forms in HTML,What does action attribute in HTML forms specify?,Multiple Choice Question,"1, 2, 3, 4",Which HTTP method to use,Where to submit form,What action needs to be performed,None of these,,B,-,LEVEL 1
ES6,"Which one of the following code is equivalent to call a function ""x"" of the class ""a"" which have two arguments g and h?",Multiple Choice Question,"1, 2, 3, 4","a.x(g,h);",x(g) &amp;&amp;a.x(g);,"x(a,g);","(g,h);",,A,-,LEVEL 1
Javascript,You can redirect the webpage in JavaScript by using ………………… method.,Multiple Choice Question,"1, 2, 3, 4",window. reload,window.location,page.location,url.newlocation,,B,,LEVEL 2
HTML,Which of the following element does not support autofocus attribute?,Multiple Choice Question,"1, 2, 3, 4",&lt;input&gt;,&lt;base&gt;,&lt;select&gt;,None of the above,-,B,-,LEVEL 1
CSS,Which of the following CSS3 property specifies where to navigate when using the arrow-up navigation key?,Multiple Choice Question,"1, 2, 3, 4",nav-upper,nav-top,nav-up,all of the mentioned,-,C,,LEVEL 2
CSS,"________ selectors, which are used to specify a rule to bind to a particular unique element",Multiple Choice Question,"1, 2, 3, 4",id,class,tag,both (B) and (C),-,A,,LEVEL 2
Ajax,______________ is the server support ajax?,Multiple Choice Question,"1, 2, 3, 4",WWW,SMTP,HTTP,None of the above,,C,-,LEVEL 1
CSS,The ___________ property specifies if/how an element is displayed.,Multiple Choice Question,"1, 2, 3, 4",background-color,border,color,display,-,D,,LEVEL 3
HTML,TIFF stands for,Multiple Choice Question,"1, 2, 3, 4",Tagged image file format,Textual images file format,Textual images file format,none of the above,-,A,-,LEVEL 1
CSS,How do you select an element with id “demo”?,Multiple Choice Question,"1, 2, 3, 4",demo,*demo,#demo,.demo,-,C,,LEVEL 2
Js-easy-5jul,Which keyword is used to define the function in javascript?,Multiple Choice Question,"1, 2, 3, 4",void,int,main,function,,D,-,LEVEL 1
Javascript,"State Whether the following Statement about src attribute on JavaScript.<br><br>i) It simplifies the HTML files by allowing you to remove large blocks of JavaScript code from them.<br><br>ii) If a file of JavaScript code is shared by more than one page, it only needs to be downloaded once, by the first page that uses it.<br><br>iii) Linking to JavaScript code on Google servers can decrease the start-up time for the web pages, since the code already existed on all of the user’s browser.",Multiple Choice Question,"1, 2, 3, 4","i-True, ii-False, iii-True","i-True, ii-True, iii-False","i-False, ii-True, iii-False","i-False, ii-False, iii-True",,B,,LEVEL 2
React,"In React js, which statement is true in relation to keys",Multiple Choice Question,"1, 2, 3, 4",Keys are used by developer to traverse react js elements,Keys are used by react js to improve performance,Both of above,None of above,,B,,LEVEL 1
HTML,Which amongst the following HTML element is used to describe the navigation links?,Multiple Choice Question,"1, 2, 3, 4",&lt;navigation&gt;,&lt;navigate&gt;,&lt;nav&gt;,None of the above,-,C,,LEVEL 1
Aptitude - HCF & LCM,"<p> A person has four iron bars whose lengths are 24 m, 36 m, 48 m and 72 m, respectively. This person wants to cut pieces of same length from each of four bars. What is the least number of total pieces, if he is to cut without any wastage?</p>",Multiple Choice Question,"1, 2, 3, 4",10,15,20,25,,B,-,LEVEL 2
Java,"What is the output of the following code:-

int i = 100;
long l = i;
float  f = l;
System.out.print(i + ” “  + f + “ “ + l);",Multiple Choice Question,"1, 2, 3, 4",100 100.0 100,100 100 100,100 100.0 100.0,Compilation error,,A,-,LEVEL 1
CSS,"If you want to add italics, what line do you use?",Multiple Choice Question,"1, 2, 3, 4",Font-style:italic;,Font-style:italics;,None of the above,-,-,A,,LEVEL 3
HTML,Which one of the following is not correct regarding l parameter of hsl in HTML?,Multiple Choice Question,"1, 2, 3, 4",value of l is used determining the lightness of the colo,0% means completely dark and 100% means completely light,"for getting original color, it should be set to 100%",None of the above,-,C,-,LEVEL 1
HTML,HTML tags are used to describe document ____,Multiple Choice Question,"1, 2, 3, 4",Definition,Language,Content,None of these,-,B,,LEVEL 1
HTML,"Which of the following attribute adds audio controls, like play, pause, and volume?",Multiple Choice Question,"1, 2, 3, 4",audio,controls,source,src,-,B,,LEVEL 1
Java - Loops,Does a programmer always know how long an array will be when the program is being written?,Multiple Choice Question,"1, 2, 3, 4",Yes---the program will not compile without the length being declared.,"No---the array object is created when the program is running, and the length might change from run to run.",Yes---otherwise the program will not run correctly.,No---arrays can grow to whatever length is needed.,,B,-,LEVEL 1
Java Basics - Data Types and Conditional Statement,"What will be the output of the following program?
class Newton
{
	public static void main (String[] args) throws java.lang.Exception
	{
		String S = ""9876543212345"";
		int P = Integer.parseInt(S);
		System.out.print(P);
	}
}",Multiple Choice Question,"1, 2, 3, 4",9.87654E+12,Compilation error,Runtime error,98765432,,C,-,LEVEL 1
Aptitude - Logarithms,if log a/b + log b/a = log (a+b),Multiple Choice Question,"1, 2, 3, 4",a + b = 1,a - b = 1,a = b,a<sup>2</sup> - b<sup>2</sup> = 1,,A,-,LEVEL 1
Aptitude - Number Series Pattern Recognition,"1, 4, 10, 22, 46, ?",Multiple Choice Question,"1, 2, 3, 4",48,68,82,94,,D,-,LEVEL 2
LR - Letter and Symbol,<p>Instructions : Some of the letters are missing in the following letter series. The missing letters are given in that order as one of the alternatives below it. Choose the correct alternative: a – bccb – ca – cca – baab – c :</p>,Multiple Choice Question,"1, 2, 3, 4",ababc,abcaa,aecab,bacaa,,A,-,LEVEL 1
Aptitude - Ages,Kamal got married 6 years ago. Today his age is 5/4 times her age at the time of marriage. His son’s age is 1/10 times her age. The age of his son is:,Multiple Choice Question,"1, 2, 3, 4",2 years,3 years,4 years,5 years,,B,-,LEVEL 1
Total js,How do you create an object in JavaScript?,Multiple Choice Question,"1, 2, 3, 4",var obj = {};,function Foo() {} var obj = new Foo();,All of these work.,var obj = new Object();,,C,-,LEVEL 1
Javascript: “this” keyword,"this in a Method 
What does ‘this’ refer to when used in a method?",Multiple Choice Question,"1, 2, 3, 4",undefined,any object,global object,owner object,,D,-,LEVEL 1
Aptitude Quiz - Geometry and Mensuration,"The ratio between the perimeter and the breadth of a rectangle is 5 : 1. If the area of the rectangle is 216 sq. cm, what is the length of the rectangle?",Multiple Choice Question,"1, 2, 3, 4",16 cm,18 cm,24 cm,None of these,,B,-,LEVEL 1
Aptitude Quiz - Calender,Find the number of odd days in February ( leap year).,Multiple Choice Question,"1, 2, 3, 4",2,4,1,6,,C,-,LEVEL 2
17jul-march-htmlcss,"How to select the elements with the class name ""example""?",Multiple Choice Question,"1, 2, 3, 4",example,#example,.example,Class example,,C,-,LEVEL 2
CSS,Which of the following property is used to control the flow and formatting of text?,Multiple Choice Question,"1, 2, 3, 4",white-space,text-shadow,text-decoration,text-transform,-,A,,LEVEL 1
LR - Letter and Symbol,<p>Instructions : Some of the letters are missing in the following letter series. The missing letters are given in that order as one of the alternatives below it. Choose the correct alternative: – bbca – bcca – ac – a – cb :</p>,Multiple Choice Question,"1, 2, 3, 4",abcba,acbab,baeab,bcaab,,B,-,LEVEL 1
Javascript,What is the purpose of the parameter $name ?,Multiple Choice Question,"1, 2, 3, 4",ID,Output Name,Input Name,Document Name,,C,,LEVEL 2
Quiz 5,Which of those is synchronized?,Multiple Choice Question,"1, 2, 3, 4",HashTable,HashMap,TreeMap,All of these,,A,-,LEVEL 1
Javascript,What will be the output of the following JavaScript code?<br>let x=x+1;<br>console.log(x);,Multiple Choice Question,"1, 2, 3, 4",0,Null,Error,NaN,,D,,LEVEL 2
CSS,Following Style is applied to -<br>.wrapper sub#h2 {<br>  font-size: 18px;<br>  margin-top: 0;<br>}<br>Select appropriate option(s).,Multiple Choice Question,"1, 2, 3, 4",Div Element with class wrapper and Type 2 Heading inside it with ID sub.,Type 2 Heading inside wrapper with ID sub,All of the above,-,-,A,,LEVEL 2
HTML,using &lt;P&gt; tag will,Multiple Choice Question,"1, 2, 3, 4",start a new paragraph,break the line,end the current paragraph,none of the above,-,A,-,LEVEL 2
Sanskrit Lecture Quiz 17,दशरथस्य पुत्रः रामः । रामस्य पुत्रः लवः । लवस्य ________ दशरथः।,Multiple Choice Question,"1, 2, 3, 4",मातामहः,पितामहः,प्रपितामहः,तातः,,B,-,LEVEL 1
Aptitude - HCF & LCM,"What is the sum of digits of the least multiple of 13, which when divided by 6, 8 and 12 leaves 5, 7 and 11, respectively, as the remainders?",Multiple Choice Question,"1, 2, 3, 4",5,6,7,8,,D,-,LEVEL 1
Sanskrit-lecture-9-quiz-1,पुत्रः ____उपहारं ददाति।   putraḥ ____upahāraṃ dadāti।,Multiple Choice Question,"1, 2, 3, 4",जननी   jananī,जनन्याम्  jananyām,जनन्याः कृते   jananyāḥ kṛte,,,C,-,LEVEL 1
Aptitude - Time and Work,"A watch, which gains uniformly, is 3 minutes slow at 12 noon on Sunday and is 5 minutes 36 seconds fast at 4 pm on the next Sunday. At what time it was correct?",Multiple Choice Question,"1, 2, 3, 4",12 pm on the same day,12pm on monday,12am on tuesday,12 am on Wednesday,,D,-,LEVEL 2
JS DOM,The setTimeout() belongs to which object?,Multiple Choice Question,"1, 2, 3, 4",Element,Window,Location,None of the mentioned,,B,-,LEVEL 1
LR - Number Series,"<p>21, 20, 18, 15, 11, ?</p>",Multiple Choice Question,"1, 2, 3, 4",10,6,9,8,,B,,LEVEL 1
Node,"This question is based on the graphic shown below.<br><br>function Animal_Example(name){ 2. this.name = name;<br><br>1.<br><br>3. } 4. Animal Example prototype walk = function (target){<br><br>5 console.log(this.name, 'is walking toward', target);<br><br>6. } 7. var animal1 = new Animal_Example('Fox'); 8. animal1 w image Sint A');<br><br>9.<br><br>10. function Bird_Example(name)}{ Animal Example.call(this.name);<br><br>11. 12. }<br><br>13. Bird Example prototype_proto= Animal_Example prototype;<br><br>14. Bird Example prototype. fly = function (target){<br><br>15. console.log(this.name, 'is flying toward', target);<br><br>16. }<br><br>17. var bird1 = new Bird Example('Pigeon');<br><br>18. bird1 walk(Point B'); 19. bird1.fly('point C');<br><br>The program given in the image should provide the following output:",Multiple Choice Question,"1, 2, 3, 4",Fox is walking toward point A,Pigeon is walking toward point B,Pigeon is flying toward point C,None of the above,,B,-,LEVEL 3
React,Which method in a React Component is called after the component is rendered for the first time?,Multiple Choice Question,"1, 2, 3, 4",componentDidUpdate,componentDidMount,componentMounted,componentUpdated,-,B,,LEVEL 2
Python string,"What type of error is returned by the following :
str = ""Learning""
print(str[10])",Multiple Choice Question,"1, 2, 3, 4","""g""",Will not execute,"""n""",None of the above,,B,-,LEVEL 1
React class components,"What will be the output of the following code?<br>class Carpet extends React.Component {<br>constructor() {<br>this.state={color:'red'};<br>}<br>render() {<br>return &lt;h2&gt;My colour is {this.state.color}&lt;/h2&gt;;<br>}<br>}<br>ReactDOM.render(&lt;Carpet/&gt;,document.getElementById('root'));",Multiple Choice Question,"1, 2, 3, 4",My colour is red,My colour is {this.state.color},red,error,-,D,-,LEVEL 2
React,<br>You have written the following code but nothing is rendering. How do you fix this problem?<br>const Heading = () =&gt; {<br>  &lt;h1&gt;Hello!&lt;/h1&gt;;<br>};,Multiple Choice Question,"1, 2, 3, 4",Add a render function,Surround the h1 in a div.,Move the h1 to another component.,Change the curly braces to parentheses or add a return statement before the h1 tag.,,D,,LEVEL 2
Javascript,Which of the following symbol signifies the start and end of a<br>JavaScript block ?,Multiple Choice Question,"1, 2, 3, 4",Semicolon,Square bracket,Curly bracket,Round bracket,,C,,LEVEL 2
Javascript,"Identify the process done in the below code snippet<br>o = {x:1, y:{z:[false,null,""""]}}; <br>s = JSON.stringify(o); <br>p = JSON.parse(s);",Multiple Choice Question,"1, 2, 3, 4",Object Encapsulation,Object Serialization,Object Abstraction,Object Encoding,,B,,LEVEL 2
Javascript,How can you send data using a Worker object?,Multiple Choice Question,"1, 2, 3, 4",postMessage(),sendMessage(),Message(),post(),,A,,LEVEL 2
HTML,The style element holds the document for setting.,Multiple Choice Question,"1, 2, 3, 4","clour, alignment and border","font, colour and alignment","font, clour, alignment and border","clour, alignment",-,C,,LEVEL 1
Javascript,". Consider the following statement<br>var Set = sets.Set;<br>var s = new Set(1,2,3);<br>What could be the efficiency quotient of the above two statements ?",Multiple Choice Question,"1, 2, 3, 4",The programmer imports at once the frequently used values into the global namespace,"There is no efficiency quotient, the programmer tries to make it inefficient",The programmer needs to import the Sets everytime he wants to use it,All of the mentioned,,A,,LEVEL 2
Javascript,The provides() function and the exportsobject are used to _________,Multiple Choice Question,"1, 2, 3, 4",Call the modules api,Store the module’s API,Register the modules api,Register the module’s API and Store their API,,D,,LEVEL 2
Javascript,"What will be the output of the following JavaScript code?<br>int sum=0;<br>var arr = [10,15,20,30];<br>arr.forEach(function myFunction(element)<br>  { <br>  sum= sum+element;<br>  }); <br>document.writeln(sum);",Multiple Choice Question,"1, 2, 3, 4",70,75,10,error,,B,,LEVEL 2
Javascript,Which of the following will modify the person object?<br>const person = { name: 'Lydia Hallie' };<br><br>Object.seal(person);,Multiple Choice Question,"1, 2, 3, 4","person.name = ""Evan Bacon""",person.age = 21,delete person.name,"Object.assign(person, { age: 21 })",,A,,LEVEL 2
"Python Test - Operators, Decision Making",Which one of these is floor division?,Multiple Choice Question,"1, 2, 3, 4",//,/,%,None of the above,,A,-,LEVEL 1
Javascript,". The object whose properties are inherited by all instances of the class, and properties whose values are functions<br>behaving like instance methods of the class, is",Multiple Choice Question,"1, 2, 3, 4",Instance object,Constructor object,Destructor object,Prototype object,,D,,LEVEL 2
CSS,The default value of background-repeat property used in CSS is ……………,Multiple Choice Question,"1, 2, 3, 4",repeat-x,repeat-y,repeat,inherit,-,C,-,LEVEL 3
ANSR Section A - Maths Apt & DSA Slot 1,"What is time complexity of fun()?
int fun(int n)
{
  int count = 0;
  for (int i = n; i > 0; i /= 2)
     for (int j = 0; j < i; j++)
        count += 1;
  return count;
}",Multiple Choice Question,"1, 2, 3, 4",O(n^2),O(n),O(log(n)),O(nlog(n)),,B,-,LEVEL 2
HTML and CSS entrance quiz,The body tag is usually used after?,Multiple Choice Question,"1, 2, 3, 4",Title tag,Head tag,EM tag,Form tag,,B,-,LEVEL 1
Javascript,_____ method displays a dialog box that prompts the visitor for input.,Multiple Choice Question,"1, 2, 3, 4",display(),print(),visit(),prompt(),,D,,LEVEL 2
CSS,Which of the following property changes the color of left border?,Multiple Choice Question,"1, 2, 3, 4",:border-top-color,:border-left-color,:border-right-color,:border-bottom-color,-,B,,LEVEL 2
HTML,Which of the following is the correct regarding meta tag in HTML?,Multiple Choice Question,"1, 2, 3, 4",&lt;meta&gt; … &lt;/meta&gt;,"&lt;meta name = "" "" /&gt;",&lt;metadata&gt; … &lt;/metadata&gt;,"&lt;metadata name = "" "" /&gt;",-,A,,LEVEL 1
CSS,What is the initial value of background-color property?,Multiple Choice Question,"1, 2, 3, 4",black,normal,transparent,inherit,unset,C,,LEVEL 1
HTML,"In order to start a list from 10, what attribute should be added in the opening tag of ordered list?",Multiple Choice Question,"1, 2, 3, 4","begin= ""10""","start= ""10""","style= ""begin:10""","style= ""start:10""",-,B,,LEVEL 2
CSS,Which of the following function defines a linear gradient as a CSS image?,Multiple Choice Question,"1, 2, 3, 4",grayscale(),gradient(),image(),linear-gradient(),-,D,,LEVEL 2
React,"React.Children.map(children, function[(thisArg)]<br>Why is it a best practice to use React.Children.map instead of this.props.children?",Multiple Choice Question,"1, 2, 3, 4",this.props.children can only be an array,this.props.children is an opaque data structure. it can be either an array or a single element,this.props.children can not be used with stateless functional components,React.Children.map can pass its state to subtree,-,B,,LEVEL 3
Node,Which of the following testing assertions uses the operator===for testing equality ?,Multiple Choice Question,"1, 2, 3, 4","deepEqual(fvalue, expected)","strictEqual(value, expected)",ok(value),"throws(code, [error])",,B,-,LEVEL 1
Javascript,Which event handler is triggered when the user mouse moves away from a link ?,Multiple Choice Question,"1, 2, 3, 4",onMouse,onMouseOnto,onMouseOver,onMouseOut,,D,,LEVEL 1
JS-ass-29JUN,Which doctype is correct for HTML5?,Multiple Choice Question,"1, 2, 3, 4","&gt;&amp;lt;!DOCTYPE HTML PUBLIC ""-//DTD HTML 5.0//EN""""https://www.google.com""&amp;gt;",&lt;!DOCTYPE html&gt;,&lt;!DOCTYPE HTML5&gt;,None of the above,,B,-,LEVEL 1
Js-easy-5jul,JavaScript is a _______________ language.,Multiple Choice Question,"1, 2, 3, 4",Object-Oriented,Object-Based,High-level,Assembly-language,,B,-,LEVEL 1
ES6,"What shown in the console?<br>console.log(`""123""`);",Multiple Choice Question,"1, 2, 3, 4",123,"""123""",123',throw an error,-,B,,LEVEL 1
Aptitude - HCF & LCM,"<p>What is the HCF of  3/2, 9/7 and 15/14  </p>",Multiple Choice Question,"1, 2, 3, 4",03-Jul,Mar-14,03-Jul,3,,B,-,LEVEL 1
JS-16JUL,Which of the following is the correct output for the following JavaScript code: <br /><br />var x=3; <br />var y=2; <br />var z=0; <br />If(x==y) <br />document.write(x); <br />elseif(x==y) <br />document.write(x); <br />else <br />document.write(z);,Multiple Choice Question,"1, 2, 3, 4",3,0,Error,2,,B,-,LEVEL 1
Logical,"One morning after sunrise, Vimal started to walk. During this walking he met Stephen  who was coming from opposite direction. Vimal watch that the shadow of Stephen is to the right of him (Vimal). To Which direction Vimal was facing?",Multiple Choice Question,"1, 2, 3, 4",East,West,South,Data inadequate,,C,-,LEVEL 3
Java,"What is the output of the Java program

class variable_scope 
    {
        public static void main(String args[]) 
        {
            int x;
            x = 5;
            {
        int y = 6;
        System.out.print(x + "" "" + y);
            }
            System.out.println(x + "" "" + y);
        } 
    }",Multiple Choice Question,"1, 2, 3, 4",5 6 5 6,5 6 5,Runtime error,Compilation error,,D,-,LEVEL 1
JS Basics,Which is the correct syntax to write array literals in JavaScript?,Multiple Choice Question,"1, 2, 3, 4","var x = [“blank”,”blank”,”blank”];","var x = array(“blank”, “blank”, “blank”);","var x = {“blank”,”blank”,”blank”};","var x = new Array(1:”blank”,2:”blank”,3:”blank”)",,A,-,LEVEL 2
ES6,"What shown in the console?<br>let arr = [40];<br>let [a, b = 20] = arr;<br>console.log(b);",Multiple Choice Question,"1, 2, 3, 4",40,20,undefined,throw an error,-,B,,LEVEL 3
ES6,All major JavaScript Implementations are based on which standard?,Multiple Choice Question,"1, 2, 3, 4",ECMA,ECMAScript,Lava,CoffeeScript,-,B,,LEVEL 2
Javascript,What is the default value of the asyc attribute?,Multiple Choice Question,"1, 2, 3, 4",TRUE,FALSE,0,1,,A,,LEVEL 2
HTML,CD ROM stands for,Multiple Choice Question,"1, 2, 3, 4",computer disk read only memory,computer disk read outmemory,compact disk read only memory,compact disk read out memory,-,C,-,LEVEL 2
Aptitude - Profit and Loss,"On selling 17 balls at Rs. 720, there is a loss equal to the cost price of 5 balls. The cost price of a ball is:",Multiple Choice Question,"1, 2, 3, 4",Rs. 45,Rs. 50,Rs. 55,Rs. 60,,D,-,LEVEL 1
Aptitude Quiz - Geometry and Mensuration,"A rectangular park 60 m long and 40 m wide has two concrete crossroads running in the middle of the park and rest of the park has been used as a lawn. If the area of the lawn is 2109 sq. m, then what is the width of the road?",Multiple Choice Question,"1, 2, 3, 4",2.91 m,3 m,5.82 m,None of these,,B,-,LEVEL 1
Redux,What is the function of the Store in Redux?,Multiple Choice Question,"1, 2, 3, 4",Connect React Component with other Redux components.,Store a global state variable and pass the updated variable to the component connected to the store.,Pass data and action from React Component into Reducer.,-,-,A,-,LEVEL 2
